Name,Disaster,BeginDate,EndDate,Cost,Deaths,Year,disasterType,impactScale
Severe Storms and Tornadoes (March 2006),Severe Storm,20060308,20060313,2,10,2006,4,1
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,20130527,20130531,2,10,2013,4,1
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,20060406,20060408,2,10,2006,4,1
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,20090210,20090211,2,10,2009,4,1
Severe Storms and Tornadoes (April 2002),Severe Storm,20020427,20020428,3,7,2002,4,1
Hurricane Gloria (September 1985),Tropical Cyclone,19850926,19850928,2,11,1985,5,1
Houston Flooding (April 2016),Flooding,20160417,20160418,3,8,2016,2,1
Central and Eastern Winter Storm (January 2018),Winter Storm,20180103,20180105,1,22,2018,8,1
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1,20,1981,4,1
U.S. Wildfires (Fall 2008),Wildfire,20080901,20081130,1,16,2008,6,1
Northeast Flooding (March 2010),Flooding,20100301,20100331,2,11,2010,2,1
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,20160622,20160624,1,23,2016,2,1
Mississippi River flooding (April-May 2011),Flooding,20110401,20110531,3,7,2011,2,1
Severe Storms (May 1989),Severe Storm,19890501,19890506,1,21,1989,4,1
Hurricane Allen (August 1980),Tropical Cyclone,19800807,19800811,2,13,1980,5,1
Southern Flooding (May 1990),Flooding,19900511,19900519,2,13,1990,2,1
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,20170120,20170122,1,24,2017,4,1
Hurricane Isaac (August 2012),Tropical Cyclone,20120826,20120831,3,9,2012,5,1
East/South Severe Weather and Flooding (April 2007),Severe Storm,20070413,20070417,3,9,2007,4,1
Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110404,20110405,3,9,2011,4,1
Southeast Severe Weather (November 1992),Severe Storm,19921121,19921123,1,26,1992,4,1
Texas Flooding (October 1994),Flooding,19941016,19941025,2,19,1994,2,1
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,20170425,20170507,2,20,2017,2,1
Northeast Ice Storm (January 1998),Winter Storm,19980105,19980109,2,16,1998,8,1
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,20080606,20080612,2,18,2008,4,1
"Severe Storms, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2,20,1998,4,1
Southeast Drought/Heat Wave (Summer 1993),Drought,19930601,19930831,2,16,1993,1,1
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,20140105,20140108,2,16,2014,8,1
Severe storms (June 1982),Severe Storm,19820531,19820610,1,30,1982,4,1
Northeast Flooding (June 2006),Flooding,20060625,20060628,2,20,2006,2,1
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,20150601,20151130,3,12,2015,6,1
Hurricane Iniki (September 1992),Tropical Cyclone,19920911,19920912,6,7,1992,5,1
